,metabs_unsup,metabs_sup,unsup/sup
Ala,0.0,0.0,
Asc,0.00016661889597044207,0.00015177217510378683,1.0978224161082397
Asp,8.610364450571401e-05,0.00014903575007057802,0.577738190098271
Cr,0.00023759633517496875,0.00018291298201842448,1.2989582945568954
GABA,9.012887003584544e-05,7.171096589929179e-05,1.2568352539333953
GPC,2.8244582419361453e-05,3.2179749431116e-05,0.8777129380644132
GSH,5.938544428654563e-05,6.071792115534818e-05,0.9780546362021622
Gln,0.0,2.089979842941157e-05,0.0
Glu,0.0005069753564531338,0.00046988055505521505,1.0789451723397232
Ins,0.0003596718051632128,0.0003773444202184978,0.9531658238246855
Lac,9.558105711754014e-06,1.558508566509216e-05,0.6132854138339761
NAA,0.0007170116124183169,0.0007257589722720543,0.9879472935396817
NAAG,6.851346014346208e-05,5.5580391080729676e-05,1.2326912209730105
PCh,3.753111732682135e-05,3.332548342225772e-05,1.1261987366027144
PCr,0.00018117935064783242,0.00020490919875970268,0.8841933487832419
PE,0.00010259198544880392,0.0,inf
Scyllo,8.91545449625247e-06,8.782970351500379e-06,1.0150842072157809
Tau,2.4372278844719867e-05,1.635637001148315e-05,1.4900787171975853
tCr,0.00041877568582280114,0.00038782218077812713,1.0798136532123275
H2O,1.0,1.0,1.0
tNAA,0.0007855250725617791,0.0007813393633527839,1.00535709501571
tCho,6.57756997461828e-05,6.550523285337371e-05,1.0041289356747194
Glx,0.0005069753564531338,0.0004907803534846266,1.0329984744774723
