,metabs_unsup,metabs_sup,unsup/sup,metabs_unsup_diff,unsup/unsup_diff
Ala,0.0,1.8278498363391112e-06,0.0,4.9254875467877e-06,0.0
Asc,0.0,0.0,,0.0,
Asp,3.4044794525392745e-05,7.229680750236712e-05,0.47090315190304993,5.470463083516646e-05,0.622338438366854
Cr,0.00015662022808812516,0.00010091281592961669,1.5520350576418611,0.000150511155867687,1.0405888333341122
GABA,8.573215350936073e-05,3.426480011160807e-05,2.5020473847829856,7.37551064735695e-05,1.1623893938799106
GPC,1.9613826241637994e-05,1.7244760189123286e-05,1.137378892285724,3.4233644596041084e-05,0.5729400556990715
GSH,4.2611024791874184e-05,2.8973876625259296e-05,1.4706704713005536,4.524154118094477e-05,0.9418561719957822
Glc,4.92314888405213e-05,2.9481720588155288e-05,1.6698987663664642,3.776940195144577e-05,1.3034754668292219
Gln,8.655522738413753e-05,3.385734737824732e-05,2.556468066359728,4.390208084546039e-05,1.9715518198059991
Glu,0.00012408141234917898,0.00019367277592027444,0.6406755506011707,0.00014747792521877328,0.8413558311531221
Ins,0.0002117159266411815,0.00016331822546755177,1.2963398667544637,0.00018488516622425756,1.1451212174825287
Lac,2.949722730952898e-05,1.8125557035029478e-05,1.6273832165556399,3.0161938983543556e-05,0.9779619050891508
Mac,0.00020991516575396575,0.0003389697384605576,0.61927405882101,0.00022770256383057078,0.9218831892914464
NAA,0.0003652124138029324,0.00031307753795055865,1.166523846436428,0.00035982675756051735,1.0149673589560924
NAAG,3.937290440357391e-05,4.343101779284401e-05,0.9065618630300959,3.2038560265834046e-05,1.2289224009095445
PCh,2.213000388512297e-05,1.6333669985910688e-05,1.354870271299234,4.598801064922423e-06,4.812124632639721
PCr,8.61046612565021e-05,7.627865701057427e-05,1.128817216125943,9.768264581613598e-05,0.8814734750180022
PE,0.0,3.6456361218630925e-05,0.0,0.0,
Scyllo,1.2368014609336343e-05,6.388755661278007e-06,1.9359035256737687,5.5761970347591305e-06,2.218001719135915
Tau,0.0001048225622686303,3.134217946036088e-05,3.3444567057374432,4.624552103296465e-05,2.266653287221283
tCr,0.00024272488934462725,0.00017719147294019096,1.369845203705465,,
H2O,1.0,1.0,1.0,1.0,1.0
tNAA,0.00040458531820650634,0.00035650855574340264,1.134854442308832,0.0003918653178263514,1.032460133115918
tCho,4.174383012676096e-05,3.357843017503398e-05,1.2431739634391268,3.8832445660963506e-05,1.0749729875685923
Glx,0.0002106366397333165,0.00022753012329852177,0.9257527604683761,0.0001913800060642337,1.1006198822181017
